date,open,high,low,close,volume,amount
2007-08-22,1725.13,1790.89,1725.13,1786.78,5.36837143,56.3383599444
2007-08-23,1788.13,1801.74,1777.78,1792.78,4.79763413,49.3122629987
2007-08-24,1800.74,1814.74,1791.77,1809.29,5.13568972,54.48955440899999
2007-08-27,1815.31,1825.39,1773.12,1783.78,5.13000252,55.062812996800005
2007-08-28,1769.73,1776.39,1738.66,1776.39,4.28666812,46.3458755134
2007-08-29,1760.52,1776.01,1729.93,1755.74,3.97949693,42.7358691586
2007-08-30,1759.3,1835.22,1759.3,1833.03,5.75557714,61.6804495623
2007-08-31,1848.6,1849.58,1830.04,1835.61,5.2164118,56.9797268987
2007-09-03,1848.32,1879.52,1848.3,1873.06,5.67134733,64.1601961202
2007-09-04,1869.66,1891.6,1850.46,1878.68,5.89646003,66.18976760439999
2007-09-05,1877.93,1895.19,1840.07,1876.84,4.43002767,49.632742837799995
2007-09-06,1880.2,1897.05,1880.2,1897.05,4.93679254,56.2797486909
2007-09-07,1868.13,1887.24,1840.37,1845.56,5.05502775,58.3069961376
2007-09-10,1820.64,1876.59,1792.47,1876.4,4.14761607,47.0403681958
2007-09-11,1868.67,1881.46,1751.79,1754.13,5.00210367,56.444114354499995
2007-09-12,1737.2,1782.88,1702.19,1759.7,4.10320258,44.4003454292
2007-09-13,1760.94,1778.65,1744.55,1778.65,2.9649407,32.6688964795
2007-09-14,1768.95,1798.11,1754.7,1796.21,3.5920878,38.4074467788
2007-09-17,1784.33,1842.58,1784.33,1839.86,4.44289899,47.7962901266
2007-09-18,1840.04,1905.24,1830.47,1905.24,5.83262759,65.4677263533
2007-09-19,1906.84,1913.33,1867.23,1876.59,5.52625076,60.8316493143
2007-09-20,1877.92,1896.35,1868.47,1885.86,4.03783107,43.8382485307
2007-09-21,1885.66,1895.47,1821.62,1852.65,3.92903976,44.4313433283
2007-09-24,1852.12,1869.45,1827.34,1853.08,3.60880953,40.2415066684
2007-09-25,1849.79,1856.29,1808.29,1820.83,2.76784288,29.312675474299997
2007-09-26,1816.3,1832.1,1791.33,1798.92,2.24661422,24.9763702177
2007-09-27,1797.86,1814.37,1791.12,1807.61,2.00800948,22.218962005700003
2007-09-28,1816.52,1855.15,1816.52,1848.79,3.18634377,37.1039610976
2007-10-08,1866.0,1873.97,1838.06,1838.62,2.85147699,33.4396493399
2007-10-09,1830.52,1881.91,1821.69,1879.8,3.07396212,35.5522233628
2007-10-10,1876.04,1887.51,1848.0,1858.78,3.32619444,38.3465586661
2007-10-11,1852.16,1861.6,1816.82,1821.05,3.36399801,35.950631831
2007-10-12,1827.45,1871.02,1689.72,1862.66,5.47392687,60.185259767299996
2007-10-15,1866.36,1868.09,1813.55,1851.72,4.2121403,50.713842954099995
2007-10-16,1870.81,1870.91,1825.69,1863.02,3.08858868,36.0230757845
2007-10-17,1873.35,1876.24,1837.84,1865.01,2.91998979,35.2489989441
2007-10-18,1874.96,1877.94,1824.61,1832.47,3.45676163,47.049947664099996
2007-10-19,1839.55,1848.8,1808.97,1820.97,2.41033912,31.478864201799997
2007-10-22,1802.59,1823.12,1758.57,1758.57,2.42414313,29.430662103400003
2007-10-23,1759.27,1773.67,1706.65,1755.15,2.34349667,26.5725529996
2007-10-24,1758.13,1758.82,1705.63,1706.88,2.35311724,27.0882631723
2007-10-25,1693.5,1705.22,1570.38,1576.76,2.76262101,30.316408742399997
2007-10-26,1567.74,1575.62,1528.41,1557.15,1.90842707,19.3284295059
2007-10-29,1565.16,1573.83,1536.18,1572.81,1.96288296,17.7394034179
2007-10-30,1581.37,1605.84,1559.38,1605.84,1.75400448,16.2994820985
2007-10-31,1618.1,1687.2,1615.63,1681.76,2.66592271,28.5379558104
2007-11-01,1681.0,1682.54,1627.53,1627.62,2.43514971,24.975045376999997
2007-11-02,1599.95,1601.65,1572.41,1587.75,2.07238595,21.1189309319
2007-11-05,1578.08,1623.81,1565.41,1621.38,1.85232045,19.5302545887
2007-11-06,1617.67,1651.08,1613.41,1635.46,1.66796176,16.5475094594
2007-11-07,1642.49,1649.26,1597.52,1630.15,1.6629435,16.1752295494
2007-11-08,1628.97,1632.83,1580.56,1580.56,2.32004199,22.2997913507
2007-11-09,1570.68,1581.89,1540.45,1558.2,1.77378168,17.3086061717
2007-11-12,1533.6,1552.37,1513.7,1538.32,1.82010664,18.3305198369
2007-11-13,1552.15,1575.28,1534.56,1563.0,1.81695142,18.1784293243
2007-11-14,1579.51,1613.63,1571.71,1613.63,2.09115766,20.8370525458
2007-11-15,1610.63,1619.32,1588.64,1592.89,1.97693634,20.186068022
2007-11-16,1575.79,1601.11,1570.19,1600.04,1.53791228,15.236853137899999
2007-11-19,1605.75,1641.12,1605.0,1636.54,2.11989229,20.7013912445
2007-11-20,1637.18,1665.95,1630.66,1662.75,1.95244769,19.8883321297
2007-11-21,1660.31,1671.04,1644.93,1644.99,2.00111695,20.604889530599998
2007-11-22,1620.67,1628.88,1571.86,1574.64,1.41039635,14.9536317232
2007-11-23,1563.41,1613.2,1562.67,1613.2,1.10749037,12.202916154
2007-11-26,1628.44,1645.97,1563.41,1611.62,1.680676,17.3257561074
2007-11-27,1596.18,1619.87,1594.4,1600.97,1.07325389,11.4350530134
2007-11-28,1601.37,1615.7,1579.42,1589.69,0.91492657,10.3887228018
2007-11-29,1595.62,1627.31,1580.39,1621.0,1.42295224,15.7287327026
2007-11-30,1634.9,1634.9,1598.82,1599.3,1.70705681,16.5282764758
2007-12-03,1586.44,1609.44,1584.6,1598.93,1.06409705,10.394813851
2007-12-04,1600.24,1612.7,1594.97,1608.21,1.18624021,11.449252548099999
2007-12-05,1605.49,1647.12,1604.07,1646.62,2.02028875,20.6050267408
2007-12-06,1648.91,1654.97,1638.66,1654.39,2.01269955,19.9733268673
2007-12-07,1654.52,1702.24,1654.15,1697.67,2.75684396,28.125999465
2007-12-10,1676.0,1771.19,1673.21,1770.93,2.7393445,32.030989325
2007-12-11,1774.03,1791.1,1760.93,1788.7,3.41018164,38.232433747399995
2007-12-12,1778.4,1833.21,1777.92,1822.24,3.19206665,35.476350777600004
2007-12-13,1822.54,1866.21,1783.36,1783.36,3.91946527,44.7892869007
2007-12-14,1760.06,1844.13,1755.71,1844.13,2.74796506,33.1724166333
2007-12-17,1857.85,1901.68,1835.05,1861.49,3.39527473,43.2452429369
2007-12-18,1854.48,1865.9,1824.29,1830.61,1.97696013,23.1829458411
2007-12-19,1842.68,1864.67,1838.79,1856.7,2.10730555,26.1928923012
2007-12-20,1864.14,1903.22,1861.66,1886.49,2.8921917,35.573237082199995
2007-12-21,1874.84,1901.7,1871.26,1900.3,2.38713978,29.3565437587
2007-12-24,1911.49,1950.41,1911.49,1934.41,4.24068232,50.322560878400004
2007-12-25,1933.15,1959.84,1928.39,1956.17,3.44527663,45.784844503100004
2007-12-26,1954.6,1989.01,1952.51,1988.8,3.56711627,44.2388919749
2007-12-27,1995.66,2014.67,1994.13,2003.72,3.65221011,45.299024450699996
2007-12-28,1997.92,2010.5,1988.93,1995.53,2.82758035,38.5668814692
2008-01-02,1995.41,2085.22,1995.41,2081.34,3.81188287,53.8345208879
2008-01-03,2088.14,2143.89,2077.64,2130.07,5.02006895,66.7417447646
2008-01-04,2130.51,2162.41,2106.72,2162.06,4.7089249,59.9126905516
2008-01-07,2154.99,2260.35,2147.54,2238.57,5.73031894,78.0539407551
2008-01-08,2247.35,2247.35,2153.11,2173.78,5.04261342,67.4954018035
2008-01-09,2160.95,2286.71,2155.68,2285.92,5.28188486,71.1039963711
2008-01-10,2296.7,2358.06,2286.03,2298.94,6.55741135,93.7716382243
2008-01-11,2292.62,2298.43,2238.2,2289.67,4.07595147,58.135290088199994
2008-01-14,2290.66,2351.63,2282.07,2349.95,4.52789742,68.4771043082
2008-01-15,2345.41,2425.29,2330.11,2416.99,5.24880051,79.5098164556
2008-01-16,2400.13,2502.02,2380.66,2469.7,7.76872517,109.63901283930001
2008-01-17,2441.55,2473.75,2285.71,2364.18,6.66284293,99.56713225870001
2008-01-18,2350.87,2369.37,2298.51,2336.43,3.72586147,55.0347558287
2008-01-21,2335.18,2350.14,2236.17,2244.66,3.73223435,53.73618226399999
2008-01-22,2185.72,2260.11,2073.38,2109.01,5.04869035,72.9776849742
