date,close
2012-01-10,2298.0
2012-01-11,2299.0
2012-01-12,2306.0
2012-01-13,2289.0
2012-01-16,2279.0
2012-01-17,2296.0
2012-01-18,2295.0
2012-01-19,2295.0
2012-01-20,2304.0
2012-01-30,2327.0
2012-01-31,2337.0
2012-02-01,2333.0
2012-02-02,2331.0
2012-02-03,2349.0
2012-02-06,2368.0
2012-02-07,2375.0
2012-02-08,2389.0
2012-02-09,2381.0
2012-02-10,2383.0
2012-02-13,2388.0
2012-02-14,2373.0
2012-02-15,2368.0
2012-02-16,2368.0
2012-02-17,2371.0
2012-02-20,2386.0
2012-02-21,2383.0
2012-02-22,2374.0
2012-02-23,2378.0
2012-02-24,2383.0
2012-02-27,2397.0
2012-02-28,2409.0
2012-02-29,2421.0
2012-03-01,2411.0
2012-03-02,2409.0
2012-03-05,2406.0
2012-03-06,2395.0
2012-03-07,2402.0
2012-03-08,2404.0
2012-03-09,2434.0
2012-03-12,2445.0
2012-03-13,2449.0
2012-03-14,2437.0
2012-03-15,2471.0
2012-03-16,2487.0
2012-03-19,2477.0
2012-03-20,2466.0
2012-03-21,2468.0
2012-03-22,2465.0
2012-03-23,2459.0
2012-03-26,2447.0
2012-03-27,2444.0
2012-03-28,2456.0
2012-03-29,2433.0
2012-03-30,2432.0
2012-04-05,2464.0
2012-04-06,2453.0
2012-04-09,2454.0
2012-04-10,2448.0
2012-04-11,2431.0
2012-04-12,2434.0
2012-04-13,2426.0
2012-04-16,2416.0
2012-04-17,2420.0
2012-04-18,2423.0
2012-04-19,2438.0
2012-04-20,2429.0
2012-04-23,2421.0
2012-04-24,2414.0
2012-04-25,2420.0
2012-04-26,2426.0
2012-04-27,2430.0
2012-05-02,2428.0
2012-05-03,2417.0
2012-05-04,2428.0
2012-05-07,2425.0
2012-05-08,2425.0
2012-05-09,2407.0
2012-05-10,2413.0
2012-05-11,2396.0
2012-05-14,2388.0
2012-05-15,2394.0
2012-05-16,2377.0
2012-05-17,2396.0
2012-05-18,2395.0
2012-05-21,2410.0
2012-05-22,2402.0
2012-05-23,2391.0
2012-05-24,2391.0
2012-05-25,2359.0
2012-05-28,2368.0
2012-05-29,2371.0
2012-05-30,2361.0
2012-05-31,2368.0
2012-06-01,2366.0
2012-06-04,2367.0
2012-06-05,2406.0
2012-06-06,2408.0
2012-06-07,2402.0
2012-06-08,2393.0
2012-06-11,2412.0
2012-06-12,2295.0
2012-06-13,2416.0
2012-06-14,2274.0
2012-06-15,2284.0
2012-06-18,2425.0
2012-06-19,2318.0
2012-06-20,2333.0
2012-06-21,2325.0
2012-06-25,2336.0
2012-06-26,2339.0
2012-06-27,2326.0
2012-06-28,2326.0
2012-06-29,2336.0
2012-07-02,2326.0
2012-07-03,2444.0
2012-07-04,2448.0
2012-07-05,2456.0
2012-07-06,2461.0
2012-07-09,2368.0
2012-07-10,2353.0
2012-07-11,2352.0
2012-07-12,2349.0
2012-07-13,2367.0
2012-07-16,2411.0
2012-07-17,2395.0
2012-07-18,2387.0
2012-07-19,2397.0
2012-07-20,2392.0
2012-07-23,2396.0
2012-07-24,2379.0
2012-07-25,2384.0
2012-07-26,2382.0
2012-07-27,2381.0
2012-07-30,2400.0
2012-07-31,2398.0
2012-08-01,2397.0
2012-08-02,2383.0
2012-08-03,2384.0
2012-08-06,2376.0
2012-08-07,2379.0
2012-08-08,2376.0
2012-08-09,2383.0
2012-08-10,2392.0
2012-08-13,2421.0
2012-08-14,2424.0
2012-08-15,2437.0
2012-08-16,2412.0
2012-08-17,2410.0
2012-08-20,2414.0
2012-08-21,2419.0
2012-08-22,2409.0
2012-08-23,2412.0
2012-08-24,2385.0
2012-08-27,2390.0
2012-08-28,2382.0
2012-08-29,2392.0
2012-08-30,2394.0
2012-08-31,2385.0
2012-09-03,2390.0
2012-09-04,2398.0
2012-09-05,2368.0
2012-09-06,2362.0
2012-09-07,2362.0
2012-09-10,2368.0
2012-09-11,2356.0
2012-09-12,2360.0
2012-09-13,2363.0
2012-09-14,2362.0
2012-09-17,2345.0
2012-09-18,2352.0
2012-09-19,2355.0
2012-09-20,2368.0
2012-09-21,2359.0
2012-09-24,2354.0
2012-09-25,2352.0
2012-09-26,2340.0
2012-09-27,2324.0
2012-09-28,2341.0
2012-10-08,2311.0
2012-10-09,2316.0
2012-10-10,2320.0
2012-10-11,2321.0
2012-10-12,2316.0
2012-10-15,2313.0
2012-10-16,2324.0
2012-10-17,2340.0
2012-10-18,2415.0
2012-10-19,2407.0
2012-10-22,2411.0
2012-10-23,2410.0
2012-10-24,2410.0
2012-10-25,2437.0
2012-10-26,2424.0
2012-10-29,2418.0
2012-10-30,2421.0
2012-10-31,2420.0
2012-11-01,2419.0
2012-11-02,2426.0
2012-11-05,2428.0
2012-11-06,2427.0
2012-11-07,2427.0
2012-11-08,2427.0
2012-11-09,2421.0
2012-11-12,2423.0
2012-11-13,2399.0
2012-11-14,2411.0
2012-11-15,2408.0
2012-11-16,2414.0
2012-11-19,2428.0
2012-11-20,2426.0
2012-11-21,2428.0
2012-11-22,2427.0
2012-11-23,2440.0
2012-11-26,2445.0
2012-11-27,2441.0
2012-11-28,2433.0
2012-11-29,2436.0
2012-11-30,2438.0
2012-12-03,2444.0
2012-12-04,2441.0
2012-12-05,2454.0
2012-12-06,2455.0
2012-12-07,2452.0
2012-12-10,2448.0
2012-12-11,2444.0
2012-12-12,2442.0
2012-12-13,2440.0
2012-12-14,2445.0
2012-12-17,2450.0
2012-12-18,2446.0
2012-12-19,2448.0
2012-12-20,2447.0
2012-12-21,2443.0
2012-12-24,2428.0
2012-12-25,2431.0
2012-12-26,2434.0
2012-12-27,2438.0
2012-12-28,2437.0
2012-12-31,2433.0
2013-01-04,2446.0
2013-01-07,2445.0
2013-01-08,2456.0
2013-01-09,2444.0
2013-01-10,2445.0
2013-01-11,2438.0
2013-01-14,2434.0
2013-01-15,2434.0
2013-01-16,2435.0
2013-01-17,2431.0
2013-01-18,2434.0
2013-01-21,2427.0
2013-01-22,2426.0
2013-01-23,2427.0
2013-01-24,2417.0
2013-01-25,2419.0
2013-01-28,2424.0
2013-01-29,2422.0
2013-01-30,2424.0
2013-01-31,2424.0
2013-02-01,2425.0
2013-02-04,2478.0
2013-02-05,2468.0
2013-02-06,2469.0
2013-02-07,2464.0
2013-02-08,2462.0
2013-02-18,2440.0
2013-02-19,2448.0
2013-02-20,2445.0
2013-02-21,2447.0
2013-02-22,2448.0
2013-02-25,2439.0
2013-02-26,2433.0
2013-02-27,2433.0
2013-02-28,2441.0
2013-03-01,2438.0
2013-03-04,2425.0
2013-03-05,2429.0
2013-03-06,2437.0
2013-03-07,2443.0
2013-03-08,2443.0
2013-03-11,2445.0
2013-03-12,2445.0
2013-03-13,2450.0
2013-03-14,2445.0
2013-03-15,2460.0
2013-03-18,2458.0
2013-03-19,2460.0
2013-03-20,2459.0
2013-03-21,2458.0
2013-03-22,2463.0
2013-03-25,2463.0
2013-03-26,2459.0
2013-03-27,2461.0
2013-03-28,2474.0
2013-03-29,2468.0
2013-04-01,2437.0
2013-04-02,2440.0
2013-04-03,2431.0
2013-04-08,2420.0
2013-04-09,2399.0
2013-04-10,2418.0
2013-04-11,2418.0
2013-04-12,2426.0
2013-04-15,2406.0
2013-04-16,2402.0
2013-04-17,2403.0
2013-04-18,2405.0
2013-04-19,2402.0
2013-04-22,2378.0
2013-04-23,2372.0
2013-04-24,2376.0
2013-04-25,2388.0
2013-04-26,2391.0
2013-05-02,2417.0
2013-05-03,2418.0
2013-05-06,2423.0
2013-05-07,2433.0
2013-05-08,2439.0
2013-05-09,2433.0
2013-05-10,2438.0
2013-05-13,2433.0
2013-05-14,2437.0
2013-05-15,2436.0
2013-05-16,2446.0
2013-05-17,2447.0
2013-05-20,2431.0
2013-05-21,2427.0
2013-05-22,2435.0
2013-05-23,2428.0
2013-05-24,2432.0
2013-05-27,2439.0
2013-05-28,2441.0
2013-05-29,2443.0
2013-05-30,2447.0
2013-05-31,2447.0
2013-06-03,2447.0
2013-06-04,2435.0
2013-06-05,2436.0
2013-06-06,2428.0
2013-06-07,2427.0
2013-06-13,2424.0
2013-06-14,2424.0
2013-06-17,2426.0
2013-06-18,2426.0
2013-06-19,2427.0
2013-06-20,2422.0
2013-06-21,2421.0
2013-06-24,2414.0
2013-06-25,2420.0
2013-06-26,2415.0
2013-06-27,2418.0
2013-06-28,2418.0
2013-07-01,2418.0
2013-07-02,2424.0
2013-07-03,2427.0
2013-07-04,2435.0
2013-07-05,2381.0
2013-07-08,2374.0
2013-07-09,2376.0
2013-07-10,2380.0
2013-07-11,2379.0
2013-07-12,2375.0
2013-07-15,2369.0
2013-07-16,2370.0
2013-07-17,2368.0
2013-07-18,2366.0
2013-07-19,2363.0
2013-07-22,2353.0
2013-07-23,2355.0
2013-07-24,2343.0
